timestamp,pair,side,qty,entry_price,exit_price,pnl,pnl_pct,signal_source
2026-06-06T21:22:25.024792,BTC-USD,buy,0.00223738,65000.0,None,None,None,phase6_fresh_start
2026-06-06T21:22:25.025421,ETH-USD,buy,0.045,3200.0,None,None,None,phase6_fresh_start
2026-06-06T21:22:25.025848,SOL-USD,buy,1.02262069,145.0,None,None,None,phase6_fresh_start
2026-06-06T21:22:25.026303,XRP-USD,buy,268.69230769,0.52,None,None,None,phase6_fresh_start
2026-06-06T21:22:25.026834,DOGE-USD,buy,1188.08333333,0.12,None,None,None,phase6_fresh_start
2026-06-06T21:23:28.420004,BTC-USD,buy,0.00223738,65000.0,None,None,None,phase6_fresh_start
2026-06-06T21:23:28.420515,ETH-USD,buy,0.045,3200.0,None,None,None,phase6_fresh_start
2026-06-06T21:23:28.420959,SOL-USD,buy,1.02262069,145.0,None,None,None,phase6_fresh_start
2026-06-06T21:23:28.421446,XRP-USD,buy,268.69230769,0.52,None,None,None,phase6_fresh_start
2026-06-06T21:23:28.421889,DOGE-USD,buy,1188.08333333,0.12,None,None,None,phase6_fresh_start
