timestamp,pair,side,qty,entry_price,exit_price,pnl,pnl_pct,signal_source,regime_bias
2026-07-03T15:23:17.349947,BTC-USD,BUY,0.0,0.0,None,0.0,0.0,phase6_rebalance_arch4,
2026-07-03T15:23:17.384152,SOL-USD,BUY,0.0,0.0,None,0.0,0.0,phase6_rebalance_arch4,
2026-07-03T21:07:28.894905,BTC-USD,BUY,0.001163,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.054126,ETH-USD,BUY,0.023669,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.196893,SOL-USD,BUY,0.535586,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.275627,XRP-USD,BUY,145.153846,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.403563,DOGE-USD,BUY,628.333333,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.553797,ADA-USD,BUY,0.756,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.683936,AVAX-USD,BUY,0.754,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.817755,LINK-USD,BUY,0.9048,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:29.958173,UNI-USD,BUY,0.7674,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:30.110295,ARB-USD,BUY,0.754,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:07:30.506123,OP-USD,BUY,0.9048,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:30.509553,BTC-USD,BUY,0.001183,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:30.674745,ETH-USD,BUY,0.023994,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:31.069183,SOL-USD,BUY,0.548276,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:31.222969,XRP-USD,BUY,148.942308,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:31.643729,DOGE-USD,BUY,640.833333,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:31.793029,ADA-USD,BUY,0.7717,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:31.946676,AVAX-USD,BUY,0.769,0,None,0.0,0.0,phase6_fresh_start,
2026-07-03T21:35:32.098048,LINK-USD,BUY,0.8356,0,None,0.0,0.0,phase6_fresh_start,
